"Time","ICE","Coolant","Cat","HC'","CO'","NOx'","HC","CO","NOx"
"360","218.97953618175023","80.3116795899665","488.2807963245698","0.006230408451408941","0.3010065023556427","0.04606498718811088","0.00012756753322448947","0.003033246737336551","0.0022564878544678777"
"361","221.24100125741558","83.26971933977217","487.7128781450825","0.00851118512252491","0.4351464160619606","0.028385457079189182","0.00017549377290288021","0.0053646103703009484","0.002029762901161912"
"362","224.3047779585853","80.46489938352846","487.2973897747828","0.010001860105110241","0.5875317690345562","0.01727345291177919","0.0002409266872388447","0.008536915370801203","0.0017503910161918545"
"363","228.070291403338","83.2576092021987","487.06874087123754","0.007631953372755307","0.7701416993101288","0.00963032607577655","0.0003103796246070744","0.012550290968824273","0.001466771320245315"
"364","232.70336016502006","80.63335418447735","487.041281614563","0.008093162476115804","0.9831225391904153","0.004959202343435768","0.00033537921348581146","0.0175120807516629","0.0011988531975220143"
"365","238.05513679638636","83.29855140300327","487.2236638780879","0.009078816173361207","1.2280350445899941","0.0023492091983456313","0.00036014885801052956","0.02349513126174739","0.0009606015702623802"
"366","244.29745198677927","80.81421375129054","487.629118482036","0.010203453261474763","1.5096794760746841","0.0009984267312989513","0.0003909317773537244","0.03055500086801278","0.000758079080685619"
"367","251.3668504165131","83.3945012092297","488.2790559824565","0.01271923366547863","1.8364788271581236","0.0003629380076889967","0.0004277550190358998","0.038759028378486535","0.0005913442489034675"
"368","259.40068010480786","81.00529508185872","489.17670220484035","0.014181613037781775","2.205754686706762","0.00011409266612774254","0.0004857007661980425","0.04820916439482386","0.0004571328454978767"
"369","268.1554128938793","83.54975024649491","490.3039475203458","0.015551157067783098","2.6071089447496987","3.2631592147806076e-05","0.0005465042138259768","0.05892354760636731","0.0003509936592967965"
"370","277.6490327692885","81.19932624234502","491.64471679254723","0.01725956827280655","3.0395763127331596","8.438650398299889e-06","0.0006077248507690464","0.07078456355917746","0.00026810877223726467"
"371","282.5544242968025","83.75734090167833","491.21317368604844","0.015031291342513006","1.4811286020359369","0.0013757721840187143","0.0006725613827511643","0.0836576749443768","0.0002038892693557435"
"372","280.2117322442149","81.27507927314292","490.4619281505643","0.0021757724450535065","0.0691852365012109","0.10710506955970636","0.0007035506379985092","0.07964864597111994","0.00016694235326688737"
"373","279.9415224755455","83.74028242013128","493.6154148447781","0.000512811520710312","0.09031105104196631","0.06483147322271621","0.0005762986782248647","0.0630503827325607","0.0006983326223653943"
"374","278.0039715974152","81.2395648065206","493.565786988367","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.0004437149615079129","0.048481417708384586","0.0008393122549838654"
"375","282.9016159417532","83.72743426780073","493.1197692934993","0.015031291342513006","1.4811286020359369","0.0013757721840187143","0.000362437641192363","0.03839138679926122","0.0011677667943511703"
"376","280.55124606976153","81.31497413967736","492.3541452211699","0.0021757724450535065","0.0691852365012109","0.10710506955970636","0.00045905967402340366","0.044056507514855445","0.0009223972890867278"
"377","280.27480506477673","83.71014436741712","495.502411369589","0.000512811520710312","0.09031105104196631","0.06483147322271621","0.0003847732011512251","0.035173634592068966","0.0012758913066802761"
"378","278.32971689034446","81.27942386853078","495.43858094954794","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.0002980680265040097","0.027396036452787823","0.0012522218139537375"
"379","275.7595200450768","83.69716243438813","494.3004705396454","0.0025572703423623177","0.05890244840265841","0.11138682735169204","0.0002488955849147707","0.02197535168885978","0.0014724144607110717"
"380","273.02905467760775","81.19943613244311","492.86955847592185","0.0027293759561960243","0.05444876688900886","0.11379217488349147","0.00022499566527224346","0.017831398091672175","0.00172058339734318"
"381","273.6842819202128","83.66066086039706","490.7792213225732","2.0912383063078677","1.0770597884899062","0.010137095893185698","0.00020896883432429706","0.014575115153785359","0.001950476903883829"
"382","273.61543215061874","81.1956944018832","493.9318342913426","0.000512811520710312","0.09031105104196631","0.06483147322271621","0.0251151145020861","0.022014043136405002","0.0016259066271796668"
"383","271.7430304086746","83.67642453592867","493.8798222849707","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.019081133244327208","0.01747929107882579","0.0015203829820570262"
"384","276.85881595288413","81.13767237799777","493.4314412432585","0.015031291342513006","1.4811286020359369","0.0013757721840187143","0.014863925304898657","0.014265732544717524","0.001695148462704185"
"385","276.5565221754714","83.79781274801906","496.4224405567876","0.0004966703872438899","0.08380777072605246","0.06836550937182859","0.011776155125242497","0.025172827903539113","0.0013359005774565608"
"386","283.23893654519463","81.10596551947401","498.0974723848151","0.009418518420207597","1.658691865207863","0.0003096438948395369","0.008956687883042807","0.019800966488320932","0.0013096833341528305"
"387","281.16842789521775","83.95926729510228","498.01410549704633","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.006981802829759297","0.03017612938044946","0.0009882246342964314"
"388","278.60931829555045","81.02393128092598","496.8565515536211","0.0025572703423623177","0.05890244840265841","0.11138682735169204","0.005450472114022585","0.02412771503761817","0.0012437014297275184"
"389","276.4076699576642","83.93862512288098","498.12624218649296","0.00036921406569020185","0.02366859144851661","0.11319124311737404","0.004307028157027562","0.019519032977282778","0.001515038436162573"
"390","273.95532753899283","80.94763220233818","497.2985338518255","0.001848137255870948","0.054671707070983025","0.1117598892879771","0.0033208825607007383","0.01520891659592427","0.001672134954721914"
"391","280.6328736321335","83.91105097556743","498.96700103305454","0.009418518420207597","1.658691865207863","0.0003096438948395369","0.0026207378796291184","0.012424366468376311","0.0018448488002519286"
"392","278.68558140115147","81.06617714638833","498.87709172099574","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.002117234893895021","0.024402638880489075","0.0013908603179326846"
"393","283.5620294334494","83.90154367354353","498.39104966543823","0.015031291342513006","1.4811286020359369","0.0013757721840187143","0.0016644137627369214","0.019629511158875474","0.001549667755059943"
"394","283.28671454941707","81.13733829654763","501.5227781983406","0.000512811520710312","0.09031105104196631","0.06483147322271621","0.001468696935245776","0.028718194867836305","0.0012230675963032756"
"395","281.2160368389401","83.93138118185504","501.4136247544219","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.0011265968264639102","0.022611962308276518","0.001191335994979205"
"396","286.102593885495","81.05579831245092","500.90846833239675","0.015031291342513006","1.4811286020359369","0.0013757721840187143","0.0008928882794389004","0.018218094915982558","0.0013769255805462296"
"397","283.6218353374444","84.06418480255462","500.0840919319247","0.0021757724450535065","0.0691852365012109","0.10710506955970636","0.0008622873421290703","0.027311458516793938","0.0010824886181796895"
"398","283.34933861411855","80.95807651338339","503.21121287194455","0.000512811520710312","0.09031105104196631","0.06483147322271621","0.0006970546473824806","0.02194492438161359","0.001324562177385327"
"399","281.27290037969465","84.09676103191185","503.08934696542906","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.0005409945301268936","0.017591165122577627","0.0012768589391493987"
"400","280.9510154771891","80.87309230900769","506.0553125759758","0.0004966703872438899","0.08380777072605246","0.06836550937182859","0.0004371330654458185","0.014306588208635897","0.0014360297516651653"
"401","278.7838453506987","84.12427953860771","505.88069341808125","0.0012948348666971428","0.06253020681754237","0.1057431359982604","0.0003412931860925572","0.011682143987212871","0.0013681766030664844"
"402","285.4169286576781","80.79057776001588","507.4848724768451","0.009418518420207597","1.658691865207863","0.0003096438948395369","0.0002796888996641651","0.009633773626704218","0.0015084473455174783"
"403","283.29500640080164","84.29068684201297","507.33082594392056","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.00031762335060602816","0.02162315990924624","0.0011545132448635346"
"404","280.70205742710834","80.69703388081973","506.1029110409386","0.0025572703423623177","0.05890244840265841","0.11138682735169204","0.00026307160803027584","0.017434297849352316","0.001321786362498815"
"405","277.79755611331393","84.27722829564004","504.58279332477446","0.0027293759561960243","0.05444876688900886","0.11379217488349147","0.00023336707076055652","0.014154030379641778","0.0015065182871612994"
"406","275.0410383657613","80.59804886306279","503.07417073175395","0.0027293759561960243","0.05444876688900886","0.11379217488349147","0.0002124094712694684","0.011567895344171703","0.0016732717513625998"
"407","275.63628629194716","84.24745723381994","500.9065653387081","2.0912383063078677","1.0770597884899062","0.010137095893185698","0.00019617641058138055","0.009543260514528213","0.001812205889747592"
"408","273.337929025632","80.58645098353907","499.7476078016406","0.002780883314818093","0.0666335999713204","0.1089151328049875","0.02330564251092095","0.017034705538574328","0.001485660061814781"
"409","271.3340274783102","84.22207053697184","501.0825555857024","0.0003061147087542549","0.02568206537382446","0.11192024920867695","0.018260276316655773","0.013936931116982982","0.0016584816676493417"
"410","269.1090761725078","80.52459015319852","500.2440061811891","0.002003559279817495","0.06155348263252979","0.10964171614446946","0.014115829007821582","0.010981068755334208","0.001761595892545976"
"411","268.959468530329","84.18770792164071","503.21730054866714","0.0004966703872438899","0.08380777072605246","0.06836550937182859","0.011038203978002046","0.009123310220549371","0.0018678525777030884"
"412","267.12278465376505","80.51302326199487","503.0640568506715","0.0012948348666971428","0.06253020681754237","0.1057431359982604","0.008488511408695233","0.007723262167702614","0.0017035443624414202"
"413","273.96857929234886","84.15587518810491","504.68933556785294","0.009418518420207597","1.658691865207863","0.0003096438948395369","0.006620485990563479","0.006558968275663818","0.0017826462533338627"
"414","272.16425033577013","80.65444369791459","504.5563440944802","0.0014718466987969758","0.07039845034570517","0.10254294274745922","0.0052180627708621015","0.019457550191618902","0.0013645674737815228"
"415","269.7024939273307","84.13711103229474","503.3493812282943","0.0025572703423623177","0.05890244840265841","0.11138682735169204","0.004076749314178164","0.015755463018082057","0.0014977922191124259"
"416","267.1059302976073","80.5855244462096","501.8500819962751","0.0027293759561960243","0.05444876688900886","0.11379217488349147","0.0032144308103984787","0.012844734183448529","0.0016581526085729954"
"417","264.5130798032301","84.09152585437198","502.74233980501674","0.0002816496853233174","0.013601435616486262","0.11574411459835951","0.0025454121017317644","0.010546028944392462","0.0018060667490789847"
